Class Nbr,Dept,Crs,Sc,Title,Limit,Enrld,W/L,CO,Type,Units,Days,Times,Facil ID,Component,Term,Session,Advising
8121,AFAM, 101,A,Intro African American Studies,28,28,0,HM,E,1.00,__T_T__,11.00- 12.20,HO-203,LEC,2015 Fall,FUL,
8122,AFAM, 101,B,Intro African American Studies,24,24,0,HM,E,1.00,__T_T__,14.00- 15.20,JO-208,LEC,2015 Fall,FUL,
8734,AFAM, 210,A,Black Fictions and Feminism,28,25,0,HM,E,1.00,__T_T__,14.00- 15.20,TH-193,LEC,2015 Fall,FUL,
11109,ALC, 225,A,Chinese Film Adaptations,28,13,0,HM,E,1.00,__T_T__,11.00- 12.20,MC-103,LEC,2015 Fall,FUL,
8484,ARAB, 101,A,Modern Elementary Arabic,22,17,0,FL,E,1.00,_M_W_F_,10.00- 10.50,MC-204,LEC,2015 Fall,FUL,
8484,ARAB, 101,A,Modern Elementary Arabic,22,17,0,FL,E,1.00,__T____,10.00- 10.50,WY-209,LEC,2015 Fall,FUL,
8748,ARAB, 201,A,Modern Intermediate Arabic,22,7,0,FL,E,1.00,_M_W_F_,11.00- 11.50,MC-204,LEC,2015 Fall,FUL,
8009,ARTH, 275,A,Western Art I: Ancient - Ren,28,28,0,AR,E,1.00,__T_T__,11.00- 12.20,WY-109,LEC,2015 Fall,FUL,
10931,ARTH, 276,A,Western Art II: Renaiss-Modern,28,29,3,AR,E,1.00,_M_W_F_,12.00- 12.50,WY-109,LEC,2015 Fall,FUL,Y
8010,ARTH, 278,A,Survey of Asian Art,28,30,2,AR,E,1.00,_M_W_F_,09.00- 09.50,WY-109,LEC,2015 Fall,FUL,
8005,ARTS, 101,A,Visual Concepts I,15,15,0,,E,1.00,_M_W___,09.00- 11.50,KT-202,LEC,2015 Fall,FUL,Y
8004,ARTS, 101,B,Visual Concepts I,15,14,0,,E,1.00,__T_T__,09.00- 11.50,KT-202,LEC,2015 Fall,FUL,
8006,ARTS, 102,A,Principles of 3D Design,30,30,1,AR,E,1.00,__T_T__,08.00- 10.50,CEB-001,LEC,2015 Fall,FUL,
8006,ARTS, 102,A,Principles of 3D Design,30,30,1,AR,E,1.00,__T_T__,08.00- 10.50,SH-108,LEC,2015 Fall,FUL,
8006,ARTS, 102,A,Principles of 3D Design,30,30,1,AR,E,1.00,__T_T__,08.00- 10.50,CEB-001,LEC,2015 Fall,FUL,
8006,ARTS, 102,A,Principles of 3D Design,30,30,1,AR,E,1.00,__T_T__,08.00- 10.50,SH-108,LEC,2015 Fall,FUL,
11179,ARTS, 147,A,History of Ceramics,15,14,0,AR,E,1.00,_M_W___,14.00- 16.50,CEB-001,LEC,2015 Fall,FUL,
8705,ARTS, 201,A,Intermediate Drawing & Design,14,15,0,,E,1.00,__T_T__,13.00- 15.50,KT-202,LEC,2015 Fall,FUL,
8007,ARTS, 247,A,Ceramics: Beginning Wheel,15,17,1,,E,1.00,_M_W___,10.00- 12.50,CEB-001,LEC,2015 Fall,FUL,
8008,ARTS, 265,A,Sculpture/Metal,12,12,0,,E,1.00,__T_T__,12.30- 15.20,SH-108,LEC,2015 Fall,FUL,
8011,ARTS, 281,A,Beg Printmakng Relief/Intaglio,14,10,0,,E,1.00,_M_W___,09.00- 11.50,KT-209,LEC,2015 Fall,FUL,
8047,BIOL, 101,A,Introduction to Biology,48,48,1,NS,E,1.00,_M_W_F_,09.00- 09.50,TH-193,LEC,2015 Fall,FUL,
8048,BIOL, 101,AA,Introduction to Biology,16,16,1,NS,N,0.00,_M_____,13.00- 15.50,TH-271,LAB,2015 Fall,FUL,
8049,BIOL, 101,AB,Introduction to Biology,16,15,0,NS,N,0.00,__T____,09.00- 11.50,TH-271,LAB,2015 Fall,FUL,
8050,BIOL, 101,AC,Introduction to Biology,16,17,0,NS,N,0.00,__T____,13.00- 15.50,TH-271,LAB,2015 Fall,FUL,
8051,BIOL, 111,A,Unity of Life,48,38,0,NS,E,1.00,_M_W_F_,09.00- 09.50,TH-395,LEC,2015 Fall,FUL,
8052,BIOL, 111,AA,Unity of Life,16,10,0,NS,N,0.00,__T____,13.00- 15.50,HA-251,LAB,2015 Fall,FUL,
8053,BIOL, 111,AB,Unity of Life,16,15,0,NS,N,0.00,__T____,09.00- 11.50,HA-251,LAB,2015 Fall,FUL,
8054,BIOL, 111,AC,Unity of Life,16,13,0,NS,N,0.00,_M_____,18.00- 20.50,HA-251,LAB,2015 Fall,FUL,
