Dept,Crs,Sc,Title,Limit,Enrld,W/L,CO,Type,Units,Days,Times,Facil ID,Instructor,Notes,Component,Comb Sect,Acad Org,Term,Session,Career
ACAD, 201,A,Major Exploration & Decision,20,2,0,,E,0.25,_M_____,15.00- 16.20,JO-206,Cyrenius Wade,,LEC,,ACAD,2015 Fall,S1,UGRD
ACAD, 201,B,Major Exploration & Decision,20,1,0,,E,0.25,_M_____,15.00- 16.20,JO-206,Cyrenius Wade,,LEC,,ACAD,2015 Fall,S2,UGRD
AFAM, 101,A,Intro African American Studies,28,28,0,HM,E,1.00,__T_T__,11.00- 12.20,HO-203,Renee Simms,,LEC,,AFRICAN-AM,2015 Fall,FUL,UGRD
AFAM, 101,B,Intro African American Studies,24,24,0,HM,E,1.00,__T_T__,14.00- 15.20,JO-208,Grace Livingston,,LEC,,AFRICAN-AM,2015 Fall,FUL,UGRD
AFAM, 210,A,Black Fictions and Feminism,28,25,0,HM,E,1.00,__T_T__,14.00- 15.20,TH-193,Renee Simms,,LEC,,AFRICAN-AM,2015 Fall,FUL,UGRD
AFAM, 346,A,African Americans and the Law,22,7,0,CN,E,1.00,_M_W___,16.00- 17.20,JO-208,James Jasinski,,LEC,,AFRICAN-AM,2015 Fall,FUL,UGRD
AFAM, 370,A,Communication and Diversity,19,4,0,KN,E,1.00,__T____,15.30- 18.20,JO-208,Dexter Gordon,,LEC,C,AFRICAN-AM,2015 Fall,FUL,UGRD
AFAM, 401,A,Narratives of Race,22,18,0,CN,E,1.00,__T_T__,11.00- 12.20,JO-208,Grace Livingston,,LEC,,AFRICAN-AM,2015 Fall,FUL,UGRD
AFAM, 495,A,Independent Study,1,1,0,,E,0.00,_______,-,,Dexter Gordon,,IND,,AFRICAN-AM,2015 Fall,FUL,UGRD
ALC, 225,A,Chinese Film Adaptations,28,13,0,HM,E,1.00,__T_T__,11.00- 12.20,MC-103,Mengjun Li,,LEC,,ASIAN LANG,2015 Fall,FUL,UGRD
ALC, 310,A,Pre-modern Japanese Literature,28,6,0,HM,E,1.00,__T_T__,14.00- 15.20,WY-107,Jan Leuchtenberger,,LEC,,ASIAN LANG,2015 Fall,FUL,UGRD
ARAB, 101,A,Modern Elementary Arabic,22,17,0,FL,E,1.00,_M_W_F_,10.00- 10.50,MC-204,Yasmine Khattab,,LEC,,ASIAN STDY,2015 Fall,FUL,UGRD
ARAB, 101,A,Modern Elementary Arabic,22,17,0,FL,E,1.00,__T____,10.00- 10.50,WY-209,Yasmine Khattab,,LEC,,ASIAN STDY,2015 Fall,FUL,UGRD
