0, SSI1175, SSI1134, SSI1172, SSI1141, SSI1124, SSI1160
1, SSI1175, SSI1124, SSI1135, SSI1115, SSI1128, SSI1172
2, SSI1128, SSI1108, SSI1129, SSI1104, SSI1174, SSI1141
3, SSI1134, SSI1179, SSI1141, SSI1175, SSI1118, SSI1165
4, SSI1179, SSI1124, SSI1138, SSI1134, SSI1135, SSI1117
5, SSI1171, SSI1112, SSI1141, SSI1129, SSI1174, SSI1118
6, SSI1104, SSI1134, SSI1144, SSI1187, SSI1181, SSI1165
7, SSI1117, SSI1177, SSI1124, SSI1195, SSI1174, SSI1104
8, SSI1144, SSI1134, SSI1187, SSI1138, SSI1139, SSI1172
9, SSI1117, SSI1174, SSI1172, SSI1141, SSI1165, SSI1138
10, SSI1175, SSI1165, SSI1141, SSI1124, SSI1104, SSI1172
11, SSI1138, SSI1118, SSI1195, SSI1176, SSI1129, SSI1117
12, SSI1104, SSI1141, SSI1186, SSI1128, SSI1175, SSI1165
13, SSI1124, SSI1171, SSI1128, SSI1104, SSI1117, SSI1139
14, SSI1141, SSI1195, SSI1112, SSI1190, SSI1179, SSI1118
15, SSI1179, SSI1118, SSI1117, SSI1195, SSI1108, SSI1128
16, SSI1129, SSI1112, SSI1128, SSI1187, SSI1139, SSI1135
17, SSI1128, SSI1138, SSI1104, SSI1190, SSI1134, SSI1160
18, SSI1138, SSI1160, SSI1118, SSI1128, SSI1124, SSI1195
19, SSI1179, SSI1138, SSI1104, SSI1176, SSI1177, SSI1144
20, SSI1135, SSI1128, SSI1124, SSI1117, SSI1138, SSI1139
21, SSI1134, SSI1171, SSI1179, SSI1176, SSI1141, SSI1181
22, SSI1175, SSI1139, SSI1172, SSI1195, SSI1187, SSI1108
23, SSI1117, SSI1128, SSI1176, SSI1195, SSI1134, SSI1174
24, SSI1175, SSI1195, SSI1144, SSI1117, SSI1171, SSI1115
25, SSI1104, SSI1117, SSI1138, SSI1112, SSI1139, SSI1115
26, SSI1190, SSI1141, SSI1108, SSI1128, SSI1181, SSI1175
27, SSI1179, SSI1177, SSI1172, SSI1195, SSI1135, SSI1141
28, SSI1117, SSI1108, SSI1181, SSI1134, SSI1172, SSI1138
29, SSI1117, SSI1129, SSI1138, SSI1176, SSI1124, SSI1175
30, SSI1160, SSI1176, SSI1141, SSI1195, SSI1134, SSI1171
31, SSI1128, SSI1117, SSI1187, SSI1141, SSI1135, SSI1177
32, SSI1141, SSI1175, SSI1195, SSI1172, SSI1128, SSI1115
33, SSI1187, SSI1174, SSI1124, SSI1175, SSI1112, SSI1138
34, SSI1172, SSI1165, SSI1171, SSI1128, SSI1177, SSI1181
35, SSI1104, SSI1129, SSI1186, SSI1160, SSI1134, SSI1112
36, SSI1112, SSI1138, SSI1165, SSI1124, SSI1128, SSI1175
37, SSI1175, SSI1187, SSI1138, SSI1108, SSI1135, SSI1190
38, SSI1175, SSI1160, SSI1187, SSI1165, SSI1176, SSI1128
39, SSI1129, SSI1172, SSI1176, SSI1115, SSI1195, SSI1128
40, SSI1179, SSI1187, SSI1144, SSI1138, SSI1174, SSI1129
41, SSI1128, SSI1117, SSI1134, SSI1104, SSI1135, SSI1175
42, SSI1104, SSI1118, SSI1172, SSI1134, SSI1135, SSI1195
43, SSI1138, SSI1128, SSI1134, SSI1117, SSI1139, SSI1135
44, SSI1134, SSI1141, SSI1176, SSI1171, SSI1128, SSI1139
45, SSI1179, SSI1128, SSI1129, SSI1135, SSI1144, SSI1118
46, SSI1172, SSI1175, SSI1129, SSI1135, SSI1174, SSI1165
47, SSI1128, SSI1112, SSI1108, SSI1139, SSI1144, SSI1104
48, SSI1174, SSI1179, SSI1115, SSI1141, SSI1176, SSI1186
49, SSI1174, SSI1117, SSI1177, SSI1171, SSI1138, SSI1187
50, SSI1171, SSI1108, SSI1104, SSI1176, SSI1174, SSI1124
51, SSI1187, SSI1138, SSI1128, SSI1139, SSI1134, SSI1172
52, SSI1181, SSI1144, SSI1138, SSI1134, SSI1195, SSI1104
53, SSI1117, SSI1160, SSI1112, SSI1108, SSI1124, SSI1186
54, SSI1117, SSI1104, SSI1138, SSI1134, SSI1128, SSI1171
55, SSI1195, SSI1128, SSI1118, SSI1141, SSI1104, SSI1117
56, SSI1195, SSI1117, SSI1104, SSI1118, SSI1138, SSI1141
57, SSI1195, SSI1135, SSI1177, SSI1176, SSI1175, SSI1117
58, SSI1172, SSI1138, SSI1104, SSI1160, SSI1124, SSI1118
59, SSI1135, SSI1187, SSI1139, SSI1117, SSI1141, SSI1175
60, SSI1134, SSI1118, SSI1139, SSI1165, SSI1195, SSI1117
61, SSI1171, SSI1190, SSI1144, SSI1135, SSI1181, SSI1128
62, SSI1144, SSI1160, SSI1165, SSI1181, SSI1118, SSI1195
63, SSI1177, SSI1179, SSI1144, SSI1128, SSI1190, SSI1134
64, SSI1160, SSI1187, SSI1175, SSI1128, SSI1195, SSI1176
65, SSI1108, SSI1128, SSI1104, SSI1174, SSI1124, SSI1179
66, SSI1112, SSI1134, SSI1138, SSI1187, SSI1117, SSI1186
67, SSI1138, SSI1112, SSI1165, SSI1175, SSI1171, SSI1124
68, SSI1187, SSI1134, SSI1190, SSI1139, SSI1138, SSI1104
69, SSI1118, SSI1195, SSI1128, SSI1175, SSI1172, SSI1138
70, SSI1172, SSI1190, SSI1141, SSI1176, SSI1139, SSI1112
71, SSI1171, SSI1108, SSI1144, SSI1172, SSI1138, SSI1165
72, SSI1175, SSI1117, SSI1118, SSI1138, SSI1177, SSI1128
73, SSI1138, SSI1195, SSI1141, SSI1181, SSI1124, SSI1187
74, SSI1139, SSI1141, SSI1124, SSI1171, SSI1172, SSI1179
75, SSI1135, SSI1195, SSI1129, SSI1190, SSI1124, SSI1141
76, SSI1104, SSI1124, SSI1176, SSI1177, SSI1141, SSI1187
77, SSI1141, SSI1195, SSI1134, SSI1186, SSI1118, SSI1138
78, SSI1187, SSI1160, SSI1135, SSI1138, SSI1134, SSI1171
79, SSI1129, SSI1112, SSI1128, SSI1124, SSI1190, SSI1115
80, SSI1195, SSI1175, SSI1117, SSI1141, SSI1104, SSI1174
81, SSI1141, SSI1172, SSI1115, SSI1135, SSI1174, SSI1165
82, SSI1104, SSI1165, SSI1128, SSI1139, SSI1179, SSI1124
83, SSI1138, SSI1104, SSI1172, SSI1134, SSI1112, SSI1118
84, SSI1172, SSI1190, SSI1108, SSI1104, SSI1176, SSI1144
85, SSI1179, SSI1135, SSI1177, SSI1128, SSI1175, SSI1138
86, SSI1115, SSI1108, SSI1172, SSI1128, SSI1144, SSI1160
87, SSI1141, SSI1117, SSI1128, SSI1118, SSI1165, SSI1104
88, SSI1118, SSI1138, SSI1139, SSI1128, SSI1141, SSI1104
89, SSI1187, SSI1134, SSI1186, SSI1174, SSI1139, SSI1129
90, SSI1187, SSI1186, SSI1117, SSI1176, SSI1179, SSI1177
91, SSI1177, SSI1138, SSI1134, SSI1195, SSI1175, SSI1118
92, SSI1138, SSI1174, SSI1190, SSI1176, SSI1117, SSI1160
93, SSI1176, SSI1141, SSI1165, SSI1144, SSI1190, SSI1177
