CSID,Class
1499454,BIOL  111 B
1499454,BIOL  111 BC
1499454,CHEM  110 E
1499454,CHEM  110 E
1499454,CHEM  110 EA
1499454,MATH  280 B
1499454,MATH  280 B
1499454,SSI1  174 A
2489152,IPE  191 A
2489152,LAS  100 A
2489152,PG  104 B
2489152,SPAN  300 B
2489152,SSI1  172 A
2489536,MUS  101 A
2489536,MUS  103 B
2489536,MUS  274 A
2489536,PHIL  101 A
2489536,SSI1  187 A
2489594,CLSC  211 A
2489594,MATH  160 A
2489594,MATH  160 A
2489594,PE  124 A
2489594,PE  183 A
2489594,SOAN  101 D
2489594,SSI1  179 A
2490006,MATH  160 A
2490006,MATH  160 A
2490006,PE  183 A
2490006,SOAN  101 B
2490006,SPAN  203 A
2490006,SPAN  203 A
2490006,SSI1  118 A
2490168,BUS  101 A
2490168,ECON  170 B
2490168,PG  103 D
2490168,SPAN  203 A
2490168,SPAN  203 A
2490168,SSI1  186 A
2490778,CHEM  110 D
2490778,CHEM  110 DB
2490778,ENGL  199 A
2490778,HIST  245 A
2490778,PE  158 A
2490778,SSI1  172 A
2490778,THAI  101 A
2491142,CHEM  110 F
2491142,CHEM  110 F
2491142,CHEM  110 FA
2491142,OT  101 A
2491142,PE  103 A
2491142,SPAN  201 B
2491142,SPAN  201 B
2491142,SSI1  108 A
2491658,CSCI  161 B
2491658,CSCI  161 BA
2491658,ECON  170 F
2491658,SPAN  201 H
2491658,SSI1  128 C
2491862,AFAM  210 A
2491862,ARTS  102 A
2491862,ARTS  102 A
2491862,PSYC  225 A
2491862,SSI1  135 A
2492108,MATH  180 C
2492108,MATH  180 C
2492108,PHIL  101 B
2492108,SPAN  201 D
2492108,SPAN  201 D
2492108,SSI1  176 A
2492752,BIOL  111 C
2492752,BIOL  111 CA
2492752,CHEM  110 B
2492752,CHEM  110 BB
2492752,SSI1  165 A
2493296,MUS  101 B
2493296,MUS  103 B
2493296,MUS  109 A
2493296,MUS  276 A
2493296,SPAN  101 H
2493296,SSI1  141 A
2493334,CHEM  110 D
2493334,CHEM  110 DB
2493334,PG  102 B
2493334,PSYC  101 D
2493334,SSI1  118 B
2493618,BUS  101 A
2493618,ECON  170 B
2493618,LAS  100 A
2493618,SSI1  139 A
2494170,AFAM  101 A
2494170,IPE  201 A
2494170,REL  204 A
2494170,SSI1  134 B
2494265,IPE  201 B
2494265,MATH  160 E
2494265,MATH  160 E
2494265,MATH  160 E
2494265,PG  104 A
2494265,SSI1  174 A
2494400,FREN  240 B
2494400,MATH  181 B
2494400,MATH  181 B
2494400,PHYS  121 A
2494400,PHYS  121 FF
2494400,SSI1  141 C
2495833,ARTS  147 A
2495833,ENVR  101 A
2495833,ENVR  101 AA
2495833,MATH  160 J
2495833,MATH  160 J
2495833,SSI1  128 B
2497518,ALC  225 A
2497518,GERM  101 A
2497518,PHIL  101 B
2497518,SSI1  104 B
2497592,JAPN  301 A
2497592,MATH  160 E
2497592,MATH  160 E
2497592,MATH  160 E
2497592,PG  103 B
2497592,SSI1  104 A
2497934,IPE  201 B
2497934,PE  122 A
2497934,PHIL  215 A
2497934,SPAN  201 F
2497934,SSI1  128 A
2498564,ENGL  212 C
2498564,LAS  100 A
2498564,MUS  288 A
2498564,SPAN  204 A
2498564,SSI1  175 B
6728037,ARAB  201 A
6728037,CHEM  110 B
6728037,CHEM  110 BA
6728037,COMM  170 A
6728037,PE  114 A
6728037,SSI1  124 A
6728098,CHEM  250 D
6728098,CHEM  250 D
6728098,CHEM  250 EE
6728098,MATH  290 B
6728098,MATH  290 B
6728098,MATH  290 B
6728098,SPAN  201 H
6728098,SSI1  128 A
6728218,ARTH  276 A
6728218,ECON  170 G
6728218,ENVR  101 A
6728218,ENVR  101 AB
6728218,MUS  288 A
6728218,SSI1  138 A
6729553,BUS  101 A
6729553,CHIN  101 A
6729553,CHIN  101 CC
6729553,ECON  170 B
6729553,PE  126 A
6729553,PG  104 B
6729553,SSI1  195 B
6729630,ECON  170 C
6729630,GEOL  101 B
6729630,GEOL  101 BA
6729630,PG  101 A
6729630,SSI1  171 A
6730041,CSCI  161 B
6730041,CSCI  161 BA
6730041,SOAN  101 D
6730041,SPAN  201 F
6730041,SSI1  141 B
6730092,ARAB  101 A
6730092,ARAB  101 A
6730092,HIST  153 A
6730092,LTS  200 B
6730092,SSI1  115 A
6730097,BUS  101 A
6730097,CLSC  231 A
6730097,ECON  170 B
6730097,GERM  101 C
6730097,GERM  101 C
6730097,MUS  272 A
6730097,SSI1  141 A
6730122,CLSC  231 A
6730122,MATH  160 B
6730122,MATH  160 B
6730122,MATH  160 B
6730122,PG  104 A
6730122,SSI1  160 A
