CSID,Advising class
6730910,ARTS 101A
6731673,ARTS 101A
6733017,ARTS 101A
6860897,ARTS 101A
6951812,ARTS 101A
7162216,ARTS 101A
7163792,ARTS 101A
7163849,ARTS 101A
7165297,ARTS 101A
6728218,ARTH 276A
6731540,ARTH 276A
6737782,ARTH 276A
6757700,ARTH 276A
6874578,ARTH 276A
7110256,ARTH 276A
7110489,ARTH 276A
7124588,ARTH 276A
7164025,ARTH 276A
7172193,ARTH 276A
6730682,BIOL 111B
6731813,BIOL 111B
6731865,BIOL 111B
6733892,BIOL 111B
6736649,BIOL 111B
6737904,BIOL 111B
6987582,BIOL 111B
6995309,BIOL 111B
7109061,BIOL 111B
7124469,BIOL 111B
7136032,BIOL 111B
7162289,BIOL 111B
7162580,BIOL 111B
7163610,BIOL 111B
7165402,BIOL 111B
7166461,BIOL 111B
2492752,BIOL 111C
6731969,BIOL 111C
6734036,BIOL 111C
6734054,BIOL 111C
6737693,BIOL 111C
6737914,BIOL 111C
6738965,BIOL 111C
6759856,BIOL 111C
6830429,BIOL 111C
6957520,BIOL 111C
6962090,BIOL 111C
6980917,BIOL 111C
7108649,BIOL 111C
7110229,BIOL 111C
7136729,BIOL 111C
7162433,BIOL 111C
6730700,BIOL 112A
6737777,BIOL 112A
6737908,BIOL 112A
6740017,BIOL 112A
6797486,BIOL 112A
6830737,BIOL 112A
6865138,BIOL 112A
6963358,BIOL 112A
7124856,BIOL 112A
7161810,BIOL 112A
2490168,BUS 101A
2493618,BUS 101A
6730097,BUS 101A
6731242,BUS 101A
6732408,BUS 101A
6732670,BUS 101A
6734834,BUS 101A
6737346,BUS 101A
6764214,BUS 101A
6773228,BUS 101A
6798018,BUS 101A
6818089,BUS 101A
6955389,BUS 101A
7109533,BUS 101A
7161834,BUS 101A
7161848,BUS 101A
7165202,BUS 101A
7165300,BUS 101A
7168029,BUS 101A
7168165,BUS 101A
1499454,CHEM 110E
6731286,CHEM 110E
6731849,CHEM 110E
6789002,CHEM 110E
6830418,CHEM 110E
6868124,CHEM 110E
6870368,CHEM 110E
6892334,CHEM 110E
6957642,CHEM 110E
6958782,CHEM 110E
6961094,CHEM 110E
6987882,CHEM 110E
7115172,CHEM 110E
7115232,CHEM 110E
7162549,CHEM 110E
7166525,CHEM 110E
7166565,CHEM 110E
7170477,CHEM 110E
6731390,CHEM 115A
6735756,CHEM 115A
6737558,CHEM 115A
6737912,CHEM 115A
6740545,CHEM 115A
7108565,CHEM 115A
7110593,CHEM 115A
7167584,CHEM 115A
7169738,CHEM 115A
7172013,CHEM 115A
6741949,CHIN 101A
7115916,CHIN 101A
7168281,CHIN 101A
2489594,CLSC 211A
6732278,CLSC 211A
6732565,CLSC 211A
6739742,CLSC 211A
6753053,CLSC 211A
6763954,CLSC 211A
6792352,CLSC 211A
6817900,CLSC 211A
6833433,CLSC 211A
7110309,CLSC 211A
7115238,CLSC 211A
7162165,CLSC 211A
7163580,CLSC 211A
7165298,CLSC 211A
6728037,COMM 170A
6732054,COMM 170A
6740382,COMM 170A
6760378,COMM 170A
6818062,COMM 170A
6830016,COMM 170A
6831038,COMM 170A
6831209,COMM 170A
6831293,COMM 170A
6842201,COMM 170A
6925262,COMM 170A
7109474,COMM 170A
7162005,COMM 170A
7163500,COMM 170A
2491658,CSCI 161B
6730041,CSCI 161B
6733672,CSCI 161B
6734596,CSCI 161B
6737826,CSCI 161B
6738973,CSCI 161B
6757689,CSCI 161B
6773944,CSCI 161B
6794090,CSCI 161B
6815889,CSCI 161B
6884804,CSCI 161B
6968029,CSCI 161B
7110072,CSCI 161B
7124413,CSCI 161B
7165214,CSCI 161B
7165234,CSCI 161B
7168008,CSCI 161B
7169425,CSCI 161B
7170489,CSCI 161B
7172490,CSCI 161B
6731954,ECON 170A
6732582,ECON 170A
6732774,ECON 170A
6733881,ECON 170A
6734277,ECON 170A
6734388,ECON 170A
6736450,ECON 170A
6737352,ECON 170A
6785168,ECON 170A
6830970,ECON 170A
6831072,ECON 170A
6907526,ECON 170A
6910509,ECON 170A
7109673,ECON 170A
7161970,ECON 170A
7163689,ECON 170A
7164412,ECON 170A
7165256,ECON 170A
7168368,ECON 170A
7172052,ECON 170A
6731604,ECON 170G
6731618,ECON 170G
6734092,ECON 170G
6734693,ECON 170G
6736478,ECON 170G
6737576,ECON 170G
6795389,ECON 170G
6808766,ECON 170G
6820590,ECON 170G
6862052,ECON 170G
6871317,ECON 170G
6910025,ECON 170G
6925352,ECON 170G
6951545,ECON 170G
7162293,ECON 170G
7162321,ECON 170G
7165233,ECON 170G
7168330,ECON 170G
7170337,ECON 170G
7172077,ECON 170G
2495833,ENVR 101A
6732330,ENVR 101A
6732692,ENVR 101A
6734313,ENVR 101A
6738020,ENVR 101A
6835920,ENVR 101A
6836025,ENVR 101A
6875590,ENVR 101A
7115108,ENVR 101A
7162805,ENVR 101A
7165289,ENVR 101A
7167760,ENVR 101A
6731381,FREN 201C
6736377,FREN 201C
6736434,FREN 201C
6830400,FREN 201C
7162500,FREN 201C
7162520,FREN 201C
7164521,FREN 201C
7166814,FREN 201C
7168289,FREN 201C
7168456,FREN 201C
6729630,GEOL 101B
6732444,GEOL 101B
6733149,GEOL 101B
6734296,GEOL 101B
6735222,GEOL 101B
6735766,GEOL 101B
6737246,GEOL 101B
6738597,GEOL 101B
6767212,GEOL 101B
6798250,GEOL 101B
6830108,GEOL 101B
6976416,GEOL 101B
7109489,GEOL 101B
7135881,GEOL 101B
7163957,GEOL 101B
7170422,GEOL 101B
6731593,GQS 201A
6732805,GQS 201A
6733397,GQS 201A
6737725,GQS 201A
6740490,GQS 201A
6740573,GQS 201A
6830725,GQS 201A
6959750,GQS 201A
7165698,GQS 201A
7167765,GQS 201A
2497518,GERM 101A
6738748,GERM 101A
7170242,GERM 101A
6737269,HIST 230A
6753412,HIST 230A
6771233,HIST 230A
6786372,HIST 230A
6831286,HIST 230A
7162417,HIST 230A
7162548,HIST 230A
7165244,HIST 230A
7165688,HIST 230A
6757718,JAPN 101A
6765072,JAPN 101A
6831530,JAPN 101A
6838538,JAPN 101A
6939808,JAPN 101A
7109130,JAPN 101A
7124436,JAPN 101A
7162501,JAPN 101A
7162778,JAPN 101A
7168248,JAPN 101A
6730092,LTS 200B
6732902,LTS 200B
6733924,LTS 200B
6736188,LTS 200B
6737812,LTS 200B
6746774,LTS 200B
