CSID,Question,Text,Rank
1499454,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,1
1499454,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,2
1499454,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,3
1499454,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,4
1499454,Seminar in Scholarly Inquiry 1,SSI-1 135: Hurricane Katrina and the History of New Orleans,5
1499454,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,6
2489152,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,1
2489152,Seminar in Scholarly Inquiry 1,SSI-1 160: Dilemmas of Statecraft,2
2489152,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,3
2489152,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",4
2489152,Seminar in Scholarly Inquiry 1,SSI-1 135: Hurricane Katrina and the History of New Orleans,5
2489152,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,6
2489536,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",1
2489536,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,2
2489536,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",3
2489536,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,4
2489536,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,5
2489536,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,6
2489594,Seminar in Scholarly Inquiry 1,SSI-1 195: Honors - New World Rhetorics,1
2489594,Seminar in Scholarly Inquiry 1,SSI-1 179: Women and Power in Byzantium,2
2489594,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,3
2489594,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,4
2489594,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,5
2489594,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,6
2490006,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,1
2490006,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",2
2490006,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,3
2490006,Seminar in Scholarly Inquiry 1,SSI-1 177: Marriage in History and Literature: An Inquiry into What This Institution is For,4
2490006,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",5
2490006,Seminar in Scholarly Inquiry 1,SSI-1 129: Mao's China -- A Country in Revolution,6
2490168,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,1
2490168,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,2
2490168,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,3
2490168,Seminar in Scholarly Inquiry 1,SSI-1 160: Dilemmas of Statecraft,4
2490168,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,5
2490168,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,6
2490778,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,1
2490778,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,2
2490778,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,3
2490778,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,4
2490778,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,5
2490778,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,6
2491142,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,1
2491142,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",2
2491142,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,3
2491142,Seminar in Scholarly Inquiry 1,SSI-1 160: Dilemmas of Statecraft,4
2491142,Seminar in Scholarly Inquiry 1,SSI-1 144: Constitutional Controversies,5
2491142,Seminar in Scholarly Inquiry 1,SSI-1 172: The Scientific and Romantic Revolutions (RS),6
2491658,Seminar in Scholarly Inquiry 1,SSI-1 129: Mao's China -- A Country in Revolution,1
2491658,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,2
2491658,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,3
2491658,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,4
2491658,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,5
2491658,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,6
2491862,Seminar in Scholarly Inquiry 1,SSI-1 135: Hurricane Katrina and the History of New Orleans,1
2491862,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,2
2491862,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,3
2491862,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",4
2491862,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,5
2491862,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,6
2492108,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,1
2492108,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,2
2492108,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",3
2492108,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,4
2492108,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,5
2492108,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,6
2492752,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,1
2492752,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,2
2492752,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",3
2492752,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,4
2492752,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,5
2492752,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,6
2493296,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,1
2493296,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,2
2493296,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",3
2493296,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,4
2493296,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,5
2493296,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,6
2493334,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,1
2493334,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,2
2493334,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",3
