0, SOAN101, SOAN102, CHIN101, LAS100, CHEM110, ENVR101
1, ECON170, MATH280, SPAN101, MATH160, CHEM110, PG104
2, PHIL224, SPAN300, ECON170, BIOL111, MATH160, FREN201
3, MUS103, SPAN201, ECON170, GRK101, MATH180, GQS201
4, CHEM110, MATH160, CSCI161, PG104, MUS103, ENGL212
5, ECON170, PHIL224, SPAN201, LAS100, PSYC101, MATH180
6, HIST153, ARTH276, MATH160, PG104, BUS101, HIST230
7, CSCI161, PG101, GEOL101, SPAN201, CHEM250, ECON170
8, FREN201, MATH180, PSYC101, MUS103, COMM181, CHEM115
9, ECON170, MATH181, PG101, CHEM110, ARTS101, HIST153
10, SPAN204, CHEM110, MATH280, PSYC101, PHIL101, JAPN101
11, CHEM110, SOAN101, PHYS109, PSYC101, MATH260, HIST153
12, PSYC265, SPAN201, LAS100, MATH180, CWLT100, MATH160
13, BIOL112, PSYC101, MATH160, ECON170, PHIL224, BIOL111
14, BIOL111, BUS101, CHEM110, GERM101, HIST153, SPAN101
15, ECON170, BIOL111, LAS100, SPAN101, MATH160, PG103
16, SPAN101, PG103, SOAN101, SPAN201, COMM170, CLSC211
17, PHYS121, SPAN101, ECON170, BIOL112, HIST230, GERM101
18, OT101, BIOL111, CWLT100, PG101, CSCI161, PHYS121
19, SPAN201, SPAN101, PHYS121, MATH181, PHIL101, BIOL111
20, CHEM110, COMM170, MATH280, MATH180, HIST230, SPAN101
21, PHYS121, GERM101, LAT101, SPAN101, PG101, ECON170
22, FREN201, BIOL111, IPE201, OT101, SPAN300, PG101
23, BIOL111, SOAN101, ENGL199, JAPN101, LAT101, ARTH276
24, FREN201, PHIL224, BIOL111, SPAN203, ECON170, ARTH276
25, SPAN101, CHEM110, PHIL224, PHYS121, ALC225, IPE201
26, SPAN101, GERM101, CHEM110, MATH160, BIOL111, ARTS101
27, CHEM110, CWLT100, BIOL112, MATH160, HIST230, MUS103
28, SPAN201, CHEM110, PHIL224, MATH180, PHIL101, MATH260
29, PG102, MATH160, OT101, PSYC101, ECON170, MATH180
30, CHEM110, BIOL111, GQS201, SPAN201, MATH160, SPAN300
31, MATH180, ECON170, ALC225, PG104, MATH160, CHEM110
32, MUS103, MUS126, AFAM101, GQS201, PSYC101, ENGL212
33, FREN210, CHEM110, HIST291, PHIL101, CLSC211, CSCI161
34, PHYS121, PG101, SPAN201, BIOL111, CHEM115, CHEM110
35, PSYC101, ENVR101, PHIL101, BUS101, MATH160, AFAM210
36, CHEM110, PHIL215, SPAN101, PG103, BUS101, MUS103
37, CHEM110, CSCI161, MATH180, CHEM115, PHIL101, PG104
38, PHYS121, COMM170, MATH180, ECON170, ENGL212, MATH160
39, AFAM210, SPAN101, REL211, MATH180, PG103, CLSC211
40, PG103, CHEM115, BUS101, PG102, GEOL101, OT101
41, CLSC211, BUS101, SPAN101, FREN101, AFAM210, REL201
42, FREN201, CHEM110, CLSC211, SPAN201, PG103, IPE191
43, PSYC101, FREN240, PHIL224, HIST102, ENGL212, CHEM110
44, FREN240, HIST230, MATH180, HIST153, OT101, PG103
45, MATH160, SOAN101, MATH290, SPAN204, MATH180, BIOL111
46, PG102, SPAN101, LAS100, FREN201, PG104, MUS126
47, MUS126, PG101, MUS103, IPE201, PG103, PG104
48, ENGL212, MUS101, MATH260, MUS126, PG104, MATH160
49, SPAN201, PSYC101, OT101, CHEM115, FREN201, SPAN101
50, MATH180, PG104, MATH160, PG102, AFAM101, ECON170
51, ECON170, MATH181, REL234, GERM101, CHEM110, BIOL112
52, CHEM115, REL204, MATH180, BIOL112, CHEM110, ECON170
53, SPAN201, GERM101, GEOL101, LAS100, BIOL111, SPAN300
54, CHEM110, CLSC211, LAS100, MATH160, COMM181, SPAN201
55, COMM170, PG101, SPAN101, CHEM110, FREN201, BUS101
56, ENGL199, OT101, PSYC101, FREN201, CLSC211, MATH181
57, MATH160, ECON170, PSYC101, MATH290, CHEM110, MATH280
58, CWLT100, CHEM110, CSCI161, CHEM115, MUS101, ENVR101
59, HIST153, MATH160, ENVR101, CSCI161, SPAN300, CHEM110
60, LTS200, CSCI161, CLSC211, MUS101, SPAN101, ENGL212
61, MATH160, GQS201, MATH180, LAS100, FREN201, SPAN201
62, ECON170, HIST153, CHEM115, CHEM110, REL202, FREN201
63, GEOL101, LAT101, FREN240, CHEM110, STS201, MATH160
64, ECON170, PHIL101, IPE201, SPAN101, MATH181, MATH280
65, CWLT100, HIST153, MATH280, BUS101, MUS101, CHEM115
66, BIOL111, COMM170, ALC225, SPAN201, MUS105, PG102
67, SOAN101, SPAN201, ECON170, AFAM210, ENGL212, CHEM115
68, MATH280, PHIL224, JAPN201, ECON170, MATH290, AFAM210
69, MUS103, REL202, MATH180, CHEM115, ECON170, PG103
70, MUS103, HIST230, PHIL281, FREN101, ECON170, SOAN101
71, SPAN300, ENGL199, PHIL101, SPAN101, BIOL112, REL204
72, LAS100, PG101, GERM101, MATH180, PHIL101, SPAN201
73, MATH260, AFAM101, FREN210, ECON170, MATH280, GQS291
74, SPAN201, HIST153, CHEM110, MUS103, LTS200, MATH180
75, GQS201, CHEM110, GEOL101, SOAN101, ARTS101, MATH160
76, AFAM210, LAT101, CHEM110, ARTH276, SPAN201, MATH160
77, SPAN101, MATH160, FREN101, HIST245, PHYS109, HIST102
78, CHIN101, LTS200, SPAN201, CHIN201, BIOL112, PG101
79, PG101, PHIL224, CHEM110, SPAN101, SOAN101, MUS105
80, CWLT100, PG101, PG103, PG104, ARTS101, COMM181
81, HIST153, ENVR101, CHEM110, PG103, FREN201, COMM181
82, SPAN203, SPAN101, ECON170, PG104, PG103, IPE201
83, SPAN101, CHIN101, PHYS221, SPAN201, JAPN101, PHIL101
84, ARTS101, ENGL245, CHEM250, SPAN101, CWLT100, CHEM110
85, FREN101, BIOL111, ENGL212, CWLT100, SOAN101, JAPN101
86, SPAN300, PSYC101, LAS100, FREN210, GEOL101, CHEM110
87, SPAN101, PG101, MATH160, FREN201, ARAB201, MATH181
88, PG102, CHEM110, PG101, FREN101, CHEM115, OT101
89, REL211, BIOL111, REL212, MUS126, ECON170, MATH180
90, OT101, ENGL212, ENGL235, CHEM110, MATH180, IPE191
91, SPAN203, COMM181, SPAN101, MATH280, MUS101, CHEM110
92, CWLT100, ENGL212, MUS101, FREN210, SPAN204, BIOL111
93, FREN201, HIST291, CHEM110, SOAN101, PSYC101, MATH181
94, SPAN101, MATH160, SPAN204, AFAM210, BIOL111, CHEM110
95, GQS201, BUS101, MATH180, CLSC211, MUS103, SPAN201
96, ECON170, GEOL101, LAS100, GERM101, PG103, MUS126
97, PHYS121, FREN201, MATH160, PHIL101, ECON170, CHEM115
98, SPAN201, MUS101, MUS230, CHEM110, ECON170, IPE201
99, CHIN101, REL204, PHIL281, ENGL212, ARTS102, CHEM110
100, BIOL111, SOAN101, SPAN201, ARTH276, REL211, JAPN101
101, BIOL111, SOAN101, MATH160, GERM101, MUS126, PG103
102, MATH160, PG103, CWLT100, CLSC211, BIOL111, PHIL101
103, MATH180, MUS101, SPAN204, HIST224, SPAN101, SPAN201
104, ENVR101, SOAN101, PHIL224, PSYC101, BIOL111, PG103
105, MATH181, SOAN101, GERM101, MATH160, ECON170, CSCI161
106, SPAN101, CHEM110, MUS101, GEOL101, SPAN201, FREN101
107, PHIL228, MATH160, HIST102, PSYC101, BUS101, GERM101
108, MUS126, LAT101, CHEM115, MATH160, CHEM110, PHIL101
109, COMM170, SPAN101, REL204, GQS201, PG102, MATH160
110, SPAN201, PSYC225, MATH280, ENGL212, CLSC211, ECON170
111, ARTH276, GEOL101, SPAN101, LAS100, PG103, SPAN201
112, SPAN101, MUS103, GEOL101, CHEM110, MUS126, MATH280
113, PG103, OT101, CHEM110, COMM292, MATH160, BIOL112
114, CHIN101, CHEM110, OT101, CHEM115, SOAN101, ECON170
115, PHIL101, REL234, BIOL111, CHEM110, MATH180, SPAN101
116, SPAN201, HIST291, ENGL212, MATH180, PSYC101, SPAN204
117, ECON170, MATH160, CHEM110, REL211, SPAN101, ENGL245
118, PHIL101, BIOL111, MATH181, ENGL212, CHIN201, MATH180
119, PG103, MATH181, PSYC101, MUS126, BIOL111, ECON170
120, CHEM110, MATH160, REL204, BIOL112, HIST153, THAI101
121, ARAB201, ALC225, PG103, PHYS121, ENVR101, ECON170
122, PSYC101, SPAN201, GEOL101, SPAN300, CHEM115, BUS101
123, PHYS121, SPAN201, FREN201, PG103, PHIL101, SOAN101
124, IPE201, ECON170, LAS100, CHEM110, MATH280, ENGL212
125, CHEM110, PG103, ECON170, MATH160, LAT101, ENVR101
126, MATH160, BIOL111, SPAN101, ECON170, PG101, BIOL112
127, PG103, SPAN204, AFAM101, CHIN101, ECON170, REL212
128, GRK101, ECON170, MATH160, MUS101, SPAN201, CHEM115
129, AFAM101, PG102, CHEM110, PHYS121, CWLT100, MATH280
130, PG103, SPAN101, CHEM110, MATH280, HIST102, ENGL235
131, ECON170, MUS101, SPAN201, PHYS121, REL204, CHEM110
132, CLSC211, ARTS101, SPAN201, BIOL112, ECON170, SPAN101
133, CHEM110, PHYS121, IPE201, CHEM115, MATH160, ECON170
134, PG101, SPAN101, PG102, ECON170, PSYC101, LAT101
135, MUS103, PSYC101, CHEM110, COMM170, SPAN201, MATH160
136, CHIN101, CSCI161, ENGL245, GERM101, MATH180, HIST102
137, BIOL111, ECON170, SPAN300, SPAN101, SPAN203, MATH180
138, HIST224, PG101, PHYS205, MATH260, BIOL111, PHIL224
139, CHEM110, MUS101, MATH110, AFAM101, FREN201, HIST291
140, SPAN204, HIST291, CHIN101, CHEM110, AFAM101, BIOL111
141, CHEM110, PSYC101, PHIL101, BIOL111, THTR217, MATH160
142, ECON170, CHEM110, PHIL101, JAPN101, SPAN101, CHEM115
143, BIOL111, ENGL235, CHIN101, FREN201, CHEM110, SPAN101
144, PSYC101, ECON170, PG103, PG102, CSCI161, ENGL212
145, PG102, ENGL199, CHIN101, SOAN101, GQS201, MATH160
146, PHYS109, PHIL101, CHEM110, BIOL111, MATH280, GERM101
147, PSYC101, BIOL111, FREN210, MATH160, PHIL101, CWLT100
