0, SSI1141, SSI1128, SSI1175, SSI1112, SSI1179, SSI1165
1, SSI1118, SSI1175, SSI1138, SSI1160, SSI1179, SSI1172
2, SSI1129, SSI1117, SSI1160, SSI1141, SSI1104, SSI1187
3, SSI1134, SSI1176, SSI1181, SSI1187, SSI1195, SSI1129
4, SSI1177, SSI1179, SSI1138, SSI1172, SSI1190, SSI1134
5, SSI1115, SSI1128, SSI1190, SSI1139, SSI1135, SSI1104
6, SSI1177, SSI1117, SSI1128, SSI1118, SSI1186, SSI1179
7, SSI1176, SSI1172, SSI1141, SSI1144, SSI1112, SSI1171
8, SSI1160, SSI1141, SSI1174, SSI1112, SSI1165, SSI1186
9, SSI1175, SSI1172, SSI1117, SSI1171, SSI1186, SSI1118
10, SSI1112, SSI1186, SSI1181, SSI1187, SSI1118, SSI1174
11, SSI1139, SSI1181, SSI1141, SSI1186, SSI1195, SSI1118
12, SSI1171, SSI1195, SSI1138, SSI1118, SSI1108, SSI1128
13, SSI1181, SSI1117, SSI1128, SSI1104, SSI1175, SSI1160
14, SSI1177, SSI1139, SSI1144, SSI1176, SSI1195, SSI1118
15, SSI1104, SSI1124, SSI1134, SSI1190, SSI1117, SSI1187
16, SSI1117, SSI1179, SSI1135, SSI1181, SSI1195, SSI1144
17, SSI1144, SSI1134, SSI1141, SSI1108, SSI1118, SSI1174
18, SSI1118, SSI1175, SSI1179, SSI1172, SSI1141, SSI1139
19, SSI1179, SSI1118, SSI1128, SSI1190, SSI1187, SSI1108
20, SSI1144, SSI1187, SSI1186, SSI1124, SSI1141, SSI1171
21, SSI1138, SSI1179, SSI1117, SSI1118, SSI1172, SSI1195
22, SSI1104, SSI1160, SSI1115, SSI1134, SSI1175, SSI1138
23, SSI1181, SSI1179, SSI1124, SSI1141, SSI1186, SSI1117
24, SSI1165, SSI1104, SSI1134, SSI1139, SSI1172, SSI1190
25, SSI1176, SSI1135, SSI1138, SSI1172, SSI1128, SSI1186
26, SSI1104, SSI1129, SSI1112, SSI1195, SSI1124, SSI1187
27, SSI1195, SSI1181, SSI1141, SSI1176, SSI1134, SSI1172
28, SSI1138, SSI1175, SSI1160, SSI1139, SSI1187, SSI1190
29, SSI1134, SSI1108, SSI1141, SSI1135, SSI1128, SSI1138
30, SSI1104, SSI1177, SSI1174, SSI1112, SSI1175, SSI1195
31, SSI1175, SSI1172, SSI1190, SSI1128, SSI1139, SSI1177
32, SSI1195, SSI1118, SSI1124, SSI1134, SSI1117, SSI1135
33, SSI1177, SSI1128, SSI1195, SSI1175, SSI1118, SSI1112
